scenario,concurrency,requests,complete,failed,rps,time_per_req_ms,p95_ms,p99_ms,max_ms,errors
get_chats,50,8000,8000,0,4618.15,10.827,15,53,83,""
get_messages,50,8000,8000,0,4929.95,10.142,11,13,16,""
post_message,50,3000,3000,0,2593.58,19.278,22,26,32,""
get_chats,100,8000,8000,0,6621.68,15.102,17,50,69,""
get_messages,100,8000,8000,0,2602.75,38.421,43,48,51,""
post_message,100,3000,3000,0,2444.46,40.909,53,64,68,""
get_chats,200,8000,8000,0,6878.52,29.076,34,38,50,""
get_messages,200,8000,8000,0,1963.18,101.876,107,117,121,""
post_message,200,3000,3000,0,2366.77,84.503,102,117,121,""
get_chats,400,8000,8000,0,6881.11,58.130,63,87,100,""
get_messages,400,8000,0,0,0,0,0,0,0,"apr_socket_recv: Connection reset by peer (54)"
post_message,400,3000,0,0,0,0,0,0,0,"apr_socket_recv: Connection reset by peer (54)"
get_chats,800,8000,0,0,0,0,0,0,0,"apr_socket_recv: Connection reset by peer (54)"
get_messages,800,8000,0,0,0,0,0,0,0,"apr_socket_recv: Connection reset by peer (54)"
post_message,800,3000,0,0,0,0,0,0,0,"apr_socket_recv: Connection reset by peer (54)"
get_chats,1200,8000,0,0,0,0,0,0,0,"apr_socket_recv: Connection reset by peer (54)"
get_messages,1200,8000,0,0,0,0,0,0,0,"apr_socket_recv: Connection reset by peer (54)"
post_message,1200,3000,0,0,0,0,0,0,0,"apr_socket_recv: Connection reset by peer (54)"
