ts,total_conn,active_conn,idle_conn
02:39:15,7,2,5
02:39:15,12,3,9
02:39:15,12,2,10
02:39:16,12,1,11
02:39:16,12,1,11
02:39:16,12,2,10
02:39:17,12,1,11
02:39:17,12,1,11
02:39:17,12,1,11
02:39:17,12,1,11
02:39:18,12,2,10
02:39:18,12,2,10
02:39:18,12,1,11
02:39:19,12,2,10
02:39:19,12,3,9
02:39:19,12,1,11
02:39:19,12,1,11
02:39:20,12,1,11
02:39:20,12,4,8
02:39:20,12,2,10
02:39:21,12,1,11
02:39:21,12,1,11
02:39:21,12,2,10
02:39:22,12,1,11
02:39:22,12,2,10
02:39:22,12,2,10
02:39:22,12,3,9
02:39:23,12,1,11
02:39:23,12,2,10
02:39:23,12,2,10
02:39:24,12,1,11
02:39:24,12,2,10
02:39:24,12,2,10
02:39:24,12,1,11
02:39:25,12,1,11
02:39:25,12,2,10
02:39:25,12,1,11
02:39:26,12,1,11
02:39:26,12,2,10
02:39:26,12,1,11
02:39:27,12,1,11
